loanAmnt,term,id
12000,3,1971
20000,3,1018
12000,5,1972
13000,5,4813
10000,3,1019
28800,5,7779
12000,3,1973
15000,5,4814
25000,5,1020
24000,5,7780
35000,3,3907
9000,3,6835
16000,3,5836
29900,3,3011
13000,3,4815
25000,3,1974
29225,3,1975
24575,3,6836
8000,3,1021
8000,3,6837
30000,5,7781
3000,3,6838
8000,3,1976
9000,3,6839
24000,5,1977
5600,3,6840
10000,5,1978
18000,3,7782
10000,3,1979
9450,3,5837
24000,3,3908
12000,5,1022
32100,3,3012
14000,3,1980
25000,5,1981
7500,3,3909
35000,3,1982
16000,3,3013
13000,3,3910
16800,5,3014
9000,3,3911
20000,3,1983
5000,3,3912
8000,3,4816
30000,3,7783
3000,3,3913
15400,3,1984
20000,3,3015
18000,5,4817
3650,3,1985
24000,5,5838
18175,5,3016
3700,3,3914
2500,3,1023
21000,5,3017
4500,3,3018
16000,5,5839
11000,5,7784
15000,5,1024
22000,5,4818
27200,5,6841
8000,3,3915
29000,3,7785
11000,3,1986
13900,3,1025
5000,3,1987
16000,3,3019
10800,3,6842
7025,3,1988
10000,3,4819
26250,5,1026
7000,3,1989
12000,3,3916
3025,3,1027
2750,3,6843
10000,3,1990
16000,5,4820
28625,3,1028
24000,3,3020
21000,5,4821
15000,3,1991
3000,3,6844
15000,3,1992
10000,3,6845
15500,3,5840
13225,3,4822
20000,3,7786
15000,3,3917
15000,5,3021
7500,3,7787
35000,3,6846
12000,3,7788
26925,5,3022
9600,5,5841
5000,3,7789
31675,5,1993
8000,3,4823
35000,5,1029
12000,3,7790
20000,3,5842
20500,5,3918
13000,3,1030
6000,3,4824
28125,3,7791
4200,3,3023
18000,5,4825
18000,3,7792
24650,3,3024
21425,5,5843
10800,5,7793
4000,3,1031
19750,5,6847
5600,3,3919
13625,3,4826
20000,3,6848
8000,3,5844
35000,3,4827
20000,3,6849
24000,5,5845
6400,3,4828
6000,3,3920
6000,3,1994
18225,3,6850
15000,3,1995
13000,3,6851
6350,3,4829
14400,3,7794
12000,3,3921
13575,5,1996
17000,3,3025
3500,3,7795
4800,3,1997
20000,5,6852
24925,5,4830
8000,3,3026
30000,5,1998
15000,5,1032
3800,3,6853
4000,3,4831
6500,3,6854
16000,5,7796
6000,3,3027
40000,3,4832
22000,3,1999
6500,3,3028
4000,3,6855
6550,3,5846
30000,3,1033
18000,3,4833
4650,3,1034
14000,5,4834
21000,3,1035
18000,5,3029
14000,3,1036
35000,3,3030
8000,3,1037
15000,5,2000
10000,3,5847
35000,5,1038
7450,3,4835
28800,5,3031
35000,3,3032
24000,3,4836
10000,3,2001
8325,3,3033
5000,3,2002
14000,5,1039
10000,3,6856
10000,3,7797
30000,3,5848
5000,3,1040
12500,5,5849
22000,3,4837
15000,3,6857
6250,3,2003
17125,3,3922
19200,3,3034
16000,3,4838
11700,5,3923
8000,3,4839
9000,3,3035
7250,3,7798
20000,3,1041
10000,3,5850
35000,3,3036
10000,3,2004
25000,5,5851
10000,3,2005
6400,3,1042
10000,5,3924
7000,3,3037
20000,5,2006
10000,3,7799
15000,5,4840
10000,3,6858
4000,3,1043
6000,3,6859
20000,3,3038
3000,3,1044
6000,3,1045
15000,3,4841
7500,3,3039
35000,3,6860
10000,3,7800
3000,3,1046
26000,5,7801
